,borocd,pop_2010,area_sqmi,pct_bach_deg,over65_rate,under18_rate,pct_white_nh,poverty_rate,pct_hh_rent_burd,mean_commute,unemployment,crime_per_1000,pop_density,month,community_district,year
17,306,104709,3.06683591063558,70.8,10.7,21.0,61.6,10.0,27.7,38.0,4.2,7.0,34142.35487359342,12,BK06,2016
18,307,126230,3.73520080506342,35.0,10.3,22.8,27.6,23.9,45.4,43.0,3.8,7.8,33794.702504048306,12,BK07,2016
19,308,96317,1.6354449382445402,45.1,11.6,18.8,27.4,21.1,41.8,41.2,4.6,9.4,58893.45324177352,12,BK08,2016
20,309,98429,1.62586960209149,31.4,13.4,21.6,22.9,20.8,48.5,42.8,5.4,8.4,60539.295324411425,12,BK09,2016
21,310,124491,3.9933585377119,38.3,15.7,20.1,49.5,17.6,44.4,44.4,4.0,5.2,31174.51108493013,12,BK10,2016
22,311,181981,3.70100953851647,30.2,15.3,21.8,41.2,22.6,50.6,46.1,4.1,4.9,49170.637931656376,12,BK11,2016
23,312,191382,3.5700054244778903,28.9,12.1,33.6,60.3,26.1,57.9,38.5,3.3,4.0,53608.32190555829,12,BK12,2016
24,313,104278,3.16357360047692,37.5,23.3,19.9,53.8,25.1,45.5,47.0,4.4,7.3,32962.09071420994,12,BK13,2016
25,314,160664,2.9476604557066604,37.0,13.3,25.7,40.4,20.4,48.5,42.9,4.2,5.9,54505.5994115452,12,BK14,2016
26,315,159650,4.72204672591803,40.9,18.7,22.0,65.2,17.5,48.4,46.4,3.6,5.4,33809.49178747524,12,BK15,2016
27,316,86468,1.85697018807727,15.8,12.4,23.6,2.8,29.6,54.3,47.8,6.7,14.3,46564.02162790241,12,BK16,2016
28,317,155252,3.36500170849635,24.5,15.8,21.1,3.1,16.8,49.1,47.7,4.7,8.4,46137.2722658659,12,BK17,2016
29,318,193543,8.44589393278669,31.2,15.3,23.3,22.5,13.9,41.7,48.5,4.2,6.6,22915.63232266892,12,BK18,2016
30,101,60978,1.5312800472843102,78.8,9.5,16.7,64.8,7.9,28.4,26.1,2.7,14.0,39821.5859392559,12,MN01,2016
31,102,90016,1.35193429008711,80.4,16.5,9.4,74.4,7.9,33.4,24.9,2.9,26.1,66583.11772993045,12,MN02,2016
32,103,163277,1.6815865593988701,43.3,17.9,11.4,33.3,21.5,38.4,31.3,3.6,15.2,97096.99395930466,12,MN03,2016
33,104,103245,1.76884341416713,71.2,13.8,8.8,55.2,11.8,33.6,27.8,3.6,21.5,58368.64878659341,12,MN04,2016
34,105,51673,1.57078746954076,82.3,13.6,8.4,67.5,11.8,33.2,24.0,3.2,59.4,32896.23898967521,12,MN05,2016
35,106,142745,1.3893643248415801,80.3,18.0,9.0,68.2,9.0,35.2,27.5,2.5,10.7,102741.23025022703,12,MN06,2016
36,107,209084,1.9066299684977202,75.3,20.4,15.2,65.9,9.2,32.3,32.4,3.3,8.8,109661.5512472734,12,MN07,2016
37,108,219920,1.97907167972994,80.5,20.8,14.6,75.3,6.3,32.5,31.4,2.0,10.2,111122.80684548517,12,MN08,2016
38,109,110193,1.50270437135806,43.9,11.5,15.5,25.6,20.2,45.4,36.7,3.8,12.9,73329.79267266905,12,MN09,2016
39,110,115723,1.40199366750231,39.0,10.1,20.3,14.4,20.6,39.0,37.4,6.2,13.2,82541.74229343253,12,MN10,2016
40,111,120511,2.3727057410015897,31.3,12.8,20.4,13.7,23.7,38.5,35.5,5.2,15.1,50790.53753590562,12,MN11,2016
41,112,190020,2.7967291965904506,33.9,14.2,17.1,19.5,19.5,43.3,41.0,6.0,9.5,67943.6536907675,12,MN12,2016
