month,community_district,numbldgs,unitstotal,asland_sqft,pct_clean_strts,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_res_1_2_family_bldg,pct_lot_area_res_multifamily_walkup,restaurant,business
2/1/18,QN06,14646,59316,12.97364571,98.8,1.93,6.25,46.94,4.13,601,442
2/1/18,QN07,49724,109482,6.943023407,99.4,13.24,7.07,42.47,7.9,1056,1234
2/1/18,QN08,30521,63878,8.353599237,99,19.88,10.87,43.1,12.8,168,479
2/1/18,QN09,29726,49766,7.044310148,97.9,4.51,4.51,55.94,10.36,348,895
2/1/18,QN10,37478,42176,4.640498841,100,19.73,2.6,55.79,5.11,218,741
2/1/18,QN11,39940,47723,8.682650752,100,19.93,4.95,54.85,10.78,448,446
2/1/18,QN12,60174,86108,6.32463246,96.6,6.13,7.05,59.01,2.94,154,1208
2/1/18,QN13,71203,65801,5.460406576,98.1,11.31,7.98,61.24,5.19,63,716
2/1/18,QN14,21576,48176,4.736435445,93.8,18.39,5.12,41.66,4.15,120,262
2/1/18,SI01,49963,75133,3.786582751,99.1,9.62,7.36,43.86,4.77,161,1024
2/1/18,SI02,41093,54433,4.140635761,100,21.05,10.92,27.85,2.17,100,778
2/1/18,SI03,53118,63552,3.42698642,100,17.96,4.6,40.9,1.3,92,767
3/1/18,MN01,1760,55988,79.28216106,100,4.35,31.68,0.17,0.63,3295,615
3/1/18,MN02,5375,72165,100.3247531,98.7,3.55,9.63,4.47,10.26,1271,865
3/1/18,MN03,4708,94059,58.23680177,93.4,14.95,11.15,0.32,8.66,580,756
3/1/18,MN04,3923,100090,105.4023865,100,2.81,11.75,0.88,7.68,964,903
3/1/18,MN05,3190,95425,516.0668245,100,1.59,6.49,0.09,0.67,270,1844
3/1/18,MN06,3119,113073,200.0855857,97.3,3.29,16.3,1.78,4.6,2028,762
3/1/18,MN07,4779,136570,114.7340333,100,19.14,10.24,2.16,10.88,1143,739
3/1/18,MN08,6086,159585,178.8084465,98.4,2.42,13.79,5.67,9.17,965,1033
3/1/18,MN09,2634,48590,24.39158809,97.3,15.52,23.27,2.43,10.64,205,305
3/1/18,MN10,4849,63635,25.0963106,91.9,6.3,14.53,4.14,20.61,952,404
3/1/18,MN11,3314,60777,17.09021499,96.5,42.54,10.63,0.36,5.08,328,428
3/1/18,MN12,2921,76778,16.92662418,92.1,41.45,9.19,0.5,9.47,267,670
3/1/18,BX01,4386,41918,6.707589221,86,6.48,10.61,5.77,7.42,87,446
3/1/18,BX02,3283,21902,5.496919864,81.3,2.67,5.76,4.16,6.01,376,329
3/1/18,BX03,3713,36803,7.527634527,83.7,20.85,12.42,10.23,12.41,618,273
3/1/18,BX04,3387,57385,9.660092483,89.2,15.89,12.24,4.44,12.29,21,586
3/1/18,BX05,3505,53388,9.995915302,89.1,6.7,15.95,11.95,16.63,259,532
3/1/18,BX06,4575,35928,6.5366628,77.6,24.81,18.5,8.14,12.64,142,418
3/1/18,BX07,4149,54899,10.30762568,83,7.31,21.5,9.48,14.65,239,447
3/1/18,BX08,5542,46626,6.242401917,100,8.55,18.36,26.62,4.32,124,279
3/1/18,BX09,13742,67092,5.398121557,87.9,12.89,6.34,21.49,13.91,28,535
3/1/18,BX10,20518,52136,4.469869393,100,19.86,11.12,33.07,6.72,327,488
3/1/18,BX11,15417,54969,6.212755599,100,0.71,17.12,39.36,8.51,173,560
3/1/18,BX12,24965,57877,4.759780051,76.9,21.02,6.2,36.12,11.4,509,600
3/1/18,BK01,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,217,870
3/1/18,BK02,8792,92363,24.90996012,89.1,8.15,14.05,8.52,12.44,268,565
3/1/18,BK03,17291,75550,7.386303189,80.1,3.58,11.83,24.01,27.9,310,516
