PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
XZ346,XZ346,X,09,GREENSTREET,,Eillis Ave. And Pugsley Ave.,Eillis Ave. And Pugsley Ave.,0.021,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B210W,B210W-03,B,10,John J Carty Park,,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,"Ft Hamilton Pkwy, 94-95 Sts",5.884,Playground,,0,Rated under parent,,,,DPR,,,,,0,,,
Q500,Q500,Q,05,Park,,"54 Ave., Jay Ave., and 69 St.","54 Ave., Jay Ave., and 69 St.",0.019,,,0,,,,,DPR,,,,,0,,,
R080,R080,R,03,Annadale Green,,"Annadale Rd., Jefferson Blvd., N. Railroad St.","Annadale Rd., Jefferson Blvd., N. Railroad St.",0.3,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
Q426,Q426,Q,12,North Rochdale Playground,,Baisley Blvd. 168 St. and Bedell St.,Baisley Blvd. 168 St. and Bedell St.,1.071,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
M056,M056-ZN04,M,09,Morningside Park,,"W 110 St To W 123 St, Manhattan Av To Morningside Av","110-116 Sts, Morningside Dr To Upper Path",5.869,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
M104,M104-ZN04o,M,11,Randall's Island Park,,East River and Harlem River,"LITTLE HELL GATE INLET, PARKING LOTS, PERIMETER PATH, TRIBORO BRIDGE RAMP",0,Large Park,Flagship Park Zone,0,Retired/rezoned,,,,DPR,,,,,0,,,
X108,X108,X,06,Belmont Playground,,E 182 St bet. Belmont Av and Croton Av,E 182 St bet. Belmont Av and Croton Av,2.213,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
BZ462,BZ462,B,12,Dahill Triangle,,"Dahill Rd, 24th Ave, and 62nd St","Dahill Rd, 24th Ave, and 62nd St",0.064,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ107,QZ107,Q,13,Greenstreet,,francis lewis Blvd Mall  bet 131 Av & 133 Av     (1),francis lewis Blvd Mall  bet 131 Av & 133 Av     (1),0.097,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
RZ266,RZ266,R,03,GREENSTREET,,Bay And Railroad,Bay And Railroad,0.01,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q044,Q044,Q,02,L/CPL Thomas P. Noonan Jr. Playground,,"47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.","47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.",1.05,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ259,QZ259,Q,03,Greenstreet,,34 Av Bet 78 St & 79 St,34 Av Bet 78 St & 79 St,0.039,Greenstreet,Type 2,0,,,,,DOT,,,,,0,,,
BZ526,BZ526,B,16,,,Mother Gaston Blvd & Blake Ave,Mother Gaston Blvd & Blake Ave,0.04,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q066F,Q066F,Q,01,Hoyt Playground,,Hoyt Ave. North bet. 29 St. and 31 St.,Hoyt Ave. North bet. 29 St. and 31 St.,2.2,Small Park,Neighborhood Plgd,1,,,,,DPR/TBTA,,,,,0,,,
