PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
QZ493,QZ493,Q,11,Greenstreet,,Utopia Pkwy bet. 59 Av & 182 St,Utopia Pkwy bet. 59 Av & 182 St,0.052,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
MZ230,MZ230,M,01,GREENSTREET,,"West Broadway, Canal St, and Avenue of the Americas","West Broadway, Canal St, and Avenue of the Americas",0.075,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ520,BZ520,B,13,GREENSTREET,,Bay View Ave btw Neptune Ave & W 33 st,Bay View Ave btw Neptune Ave & W 33 st,0.033,Greenstreet,,0,,,,,DOT,,,,,0,,,
B505,B505,B,16,Sterling Community Group,,Ralph Ave. and Sterling Pl.,Ralph Ave. and Sterling Pl.,0.116,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
BZ411,BZ411,B,02,Greenstreet,,Myrtle Av & St. Edward's St,Myrtle Av & St. Edward's St,0.019,Greenstreet,,0,overlaps with ft greene large park zone,,,,DOT,,,,,0,,,
MZ90,MZ90,M,10,GREENSTREET,,FREDERICK DOUGLASS BLVD & 110TH ST (SW),FREDERICK DOUGLASS BLVD & 110TH ST (SW),0,Greenstreet,Type 1,0,,,,,DPR,,,,,0,,,
BZ182,BZ182,B,14,Flatbush Malls,,"Glenwood Rd btw E 19th St & E 18th St, W","Glenwood Rd btw E 19th St & E 18th St, W",0.027,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BS013,BS013,B,03,P.S. 21,,Chauncey St. bet.ween Malcom X. Blvd. and Patchen Ave.,Chauncey St. bet.ween Malcom X. Blvd. and Patchen Ave.,0.51,Small Park,DOE Plgd,0,,,,,DOE,,,,,0,,,
Q383,Q383,Q,05,Middle Village Veterans Triangle,,"Gray St., 77 St., 66 Rd.","Gray St., 77 St., 66 Rd.",0.028,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
RZ80,RZ80,R,01,GREENSTREET,,Richmond Terr And Hamilton,Richmond Terr And Hamilton,0.038,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ157,QZ157,Q,09,Greenstreet,,Rockaway Blvd & 103 Av & 91 St,Rockaway Blvd & 103 Av & 91 St,0.074,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
XZ56A,XZ56A,X,03,GREENSTREET,,Home And 169th Street,Home And 169th Street,0.03,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ493,BZ493,B,07,Greenstreet,,Prospect Av & 6 Ave,Prospect Av & 6 Ave,0.092,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ610,QZ610,Q,13,Greenstreet,,Hook Creek Blvd & 148 Rd & Hungry Harbor Rd,Hook Creek Blvd & 148 Rd & Hungry Harbor Rd,0.02,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
XZ300,XZ300,X,15,Greenstreet,,Pelham Bay Pkwy Bet. Hutchinson Pkwy Ent,Pelham Bay Pkwy Bet. Hutchinson Pkwy Ent,0.037,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BZ268,BZ268,B,13,GREENSTREET,,"Banner Ave, Guider Ave, and Brighton 8th St","Banner Ave, Guider Ave, and Brighton 8th St",0.288,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ338,BZ338,B,01,GREENSTREET,,Mcguinness Blvd Bet Green St & Huron St,Mcguinness Blvd Bet Green St & Huron St,0.036,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X039,X039-G02,X,15,Pelham Bay Park,,"Bruckner Blvd, Eastchester, Hutchinson","Bruckner Blvd,eastchester By,hutchinson",208.775,Other,Golf Course,1,,,,,DPR,,,,,0,,,
QZ334,QZ334,Q,07,Greenstreet,,164 St bet. Underhill Av & Booth Memorial Av (3),164 St bet. Underhill Av & Booth Memorial Av (3),0.011,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
B050,B050,B,06,Van Voorhees Playground,,"Columbia St., Hicks St. bet. Congress St. and Atlantic Ave.","Columbia St., Hicks St. bet. Congress St. and Atlantic Ave.",5.739,Small Park,Neighborhood Plgd,1,,,,,DPR/CDOT,,,,,1,,,
B340,B340,B,04,Garden Playground,,Flushing Ave. between Beaver St. and Garden St.,Flushing Ave. between Beaver St. and Garden St.,0.915,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
M044,M044,M,02,Jackson Square,,"8 Ave. To Greenwich Ave., Horatio St.","8 Ave. To Greenwich Ave., Horatio St.",0.227,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
M365,M365,M,10,Our Little Green Acre Garden,,W. 122 St. bet. Frederick Douglass Blvd. and Adam C. Powell Blvd.,W. 122 St. bet. Frederick Douglass Blvd. and Adam C. Powell Blvd.,0.052,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B550,B550,B,01,Keap Fourth Community Garden,,Keap St. bet. S. 4 St. and S. 3 St.,Keap St. bet. S. 4 St. and S. 3 St.,0.066,,,0,,,,,DPR,,,,,0,,,
QZ53,QZ53,Q,06,Greenstreet,,Ingram St & Selfridge St & Yellowstone Blvd,Ingram St & Selfridge St & Yellowstone Blvd,0.036,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X039,X039-ZN22,X,15,Pelham Bay Park,,"Bruckner Blvd, Eastchester, Hutchinson","Path And Trail Along E And N Edges Of Split Rock Golf Course, Hutchinson Pkwy",143.976,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
QZ26,QZ26,Q,11,TRIANGLE,,"HAMPTON BLVD EAST, 53-56 AVES","HAMPTON BLVD EAST, 53-56 AVES",0,Greenstreet,Type 1,0,"May never have been our responsibility, not even Greenstreet. Unratable as of 1/2018 AB.",,,,DPR,,,,,0,,,
QZ733,QZ733,Q,11,Greenstreet,,Utopia Pkwy & 184 St & Peck Av,Utopia Pkwy & 184 St & Peck Av,0.016,Greenstreet,,0,,,,,DOT,,,,,0,,,
B058,B058-ZN02,B,01,McCarren Park,,"Nassau Ave, Bayard, Leonard & N 12 Sts","Bayard St, Lorimer St, Driggs Ave, Union Ave",10.326,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
M113A,M113A,M,03,Children's Garden,,S/w Corner of E. 12 St. At Ave. B,S/w Corner of E. 12 St. At Ave. B,0.037,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
X010,X010-09,X,03,Crotona Park,,"Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","Crotona S-Clinton, Prospect",0.712,Small Park,Plgd Within Park,0,Included in X010-ZN08,,,,DPR,,,,,0,,,
RZ136,RZ136,R,02,GREENSTREET,,Richmond And Rivington,Richmond And Rivington,0.061,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BZ170,BZ170,B,14,GREENSTREET,,Flatbush Ave btw E 28 St & Glenwood Rd,Flatbush Ave btw E 28 St & Glenwood Rd,0.011,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
XZ244,XZ244,X,10,GREENSTREET,,Co-op City Blvd. And Peartree Ave.,Co-op City Blvd. And Peartree Ave.,0.04,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
B216,B216,B,03,Raymond Bush Playground,,Marcus Garvey Blvd. bet. Monore St. and Madison St.,Marcus Garvey Blvd. bet. Monore St. and Madison St.,1.795,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
QZ302,QZ302,Q,05,Greenstreet,,Maurice Av & 51 Av & 69 St.,Maurice Av & 51 Av & 69 St.,0.029,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ319,MZ319,M,04,GREENSTREET,,9th Ave And W 22 Street (south),9th Ave And W 22 Street (south),0.002,Greenstreet,,0,,,,,DOT,,,,,0,,,
RZ120,RZ120,R,01,GREENSTREET,,Canal Bet. Broad And Tappen,Canal Bet. Broad And Tappen,0.031,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BS016,BS016,B,05,P.S. 328,,"Alabama Ave., Williams Ave., and Sutter Ave.","Alabama Ave., Williams Ave., and Sutter Ave.",0.658,Small Park,DOE Plgd,0,,,,,DOE,,,,,0,,,
B154,B154,B,01,Berry Playground,,S. 3 St. bet. Berry St. and Bedford Ave.,S. 3 St. bet. Berry St. and Bedford Ave.,0.327,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
M100,M100,M,12A,McNally Plaza,,"Laurel Hill Terr, W 182 St (just Off Of Amsterdam)","Laurel Hill Terr, W 182 St (just Off Of Amsterdam)",0.067,Small Park,Sitting Area/Triangle/Mall,0,overlaps/now inspected with M037-ZN06 5/21/14 AB,,,,DPR,,,,,0,,,
QZ631,QZ631,Q,13,Greenstreet,,Springfield Blvd & 115 Av (west median),Springfield Blvd & 115 Av (west median),0.007,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ79,QZ79,Q,07,Greenstreet,,Clintonville St & 22 Av & 160 St,Clintonville St & 22 Av & 160 St,0.111,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q360H,Q360H,Q,05,Peter Chahales Park,,"69 St., 58 Ave., Queens - Mid-Town Exwy. Svc. Rd. S.","69 St., 58 Ave., Queens - Mid-Town Exwy. Svc. Rd. S.",0.074,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
QZ967,QZ967,Q,02,,,Jackson Ave & 11 St North Tree (exit from Pulaski Br),Jackson Ave & 11 St North Tree (exit from Pulaski Br),0.001,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ63,XZ63,X,10,GREENSTREET,,Cross Bx Service Road North Bet. Philip,Cross Bx Service Road North Bet. Philip,0.218,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ148,QZ148,Q,07,Greenstreet,,Willets Point Blvd & 25 Av (East),Willets Point Blvd & 25 Av (East),0.012,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ357,QZ357,Q,07,Greenstreet,,Utopia Pkwy bet. Cross Island Pkwy & 16 Av,Utopia Pkwy bet. Cross Island Pkwy & 16 Av,0.141,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
X245,X245,X,06,River Garden,,E 180 St bet. the Bronx River and Devoe Av,E 180 St bet. the Bronx River and Devoe Av,0.44,Small Park,Neighborhood Park,0,not rated - LBx River restoration,,,,DPR,,,,,0,,,
MZ44,MZ44,M,01,GREENSTREET,,"Fulton St & Gold St, NE Corner","Fulton St & Gold St, NE Corner",0.111,Greenstreet,Type 1,0,Rated as small park M385.,,,,DOT,,,,,0,,,
X092,X092-ZN09,X,13,Van Cortlandt Park,,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Broadway Between West 260 St. & Caryl Ave, Yonkers Border",16.875,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
M199,M199,M,12A,Monsignor Kett Playground,,W. 204 St. bet. 10 Ave. and Nagle Ave.,W. 204 St. bet. 10 Ave. and Nagle Ave.,1,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ72,QZ72,Q,11,Greenstreet,,86 Rd & Bell Blvd & 86 Av,86 Rd & Bell Blvd & 86 Av,0.032,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q079,Q079,Q,10,Wellbrock Triangle,,"109 Ave., 106 St., Rockaway Blvd.","109 Ave., 106 St., Rockaway Blvd.",0.008,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
B430,B430,B,03,Lewis Playground,,Willoughby Ave. between Lewis Ave. and Marcus Garvey Blvd.,Willoughby Ave. between Lewis Ave. and Marcus Garvey Blvd.,0.161,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
XZ435,XZ435,X,05,GREENSTREET,,Macombs Rd & Featherbed La,Macombs Rd & Featherbed La,0.054,Greenstreet,,0,,,,,DOT,,,,,0,,,
B129,B129-ZN01,B,13,Kaiser Park,,"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.","S/o Gravesend Bay, SE/o Path, N/o Neptune Ave",9.288,Large Park,Large Park Zone,1,,,,,DPR,,,,,1,,,
QZ156,QZ156,Q,08,Greenstreet,,Palo Alto Av Palo Alto Street,Palo Alto Av Palo Alto Street,0.011,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ196,MZ196,M,10,Greenstreet,,Adam Clayton Powell Blvd Bet. 132 St & 133 st,Adam Clayton Powell Blvd Bet. 132 St & 133 st,0.046,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
M131,M131,M,10,Hansborough Recreation Center,,"W. 134 St., Lenox Terrace Pl.","W. 134 St., Lenox Terrace Pl.",0.29,,,0,,,,,DPR,,,,,0,,,
R144,R144,R,01,Sobel Court Park,,"Bowen St., Vanderbilt Ave., Targee St.","Bowen St., Vanderbilt Ave., Targee St.",1.137,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
R115,R115,R,02,Deere Park,,"Richmond Pkwy., Ocean Terr., Tiber Pl., Staten Island Blvd.","Richmond Pkwy., Ocean Terr., Tiber Pl., Staten Island Blvd.",39.779,Large Park,Flagship Park,0,Rated as part of the Greenbelt - 6/14/99,,,,DPR,,,,,0,,,
BS057,BS057,B,09,I.S. 2,,Nostrand Ave. and Parkside Ave.,Nostrand Ave. and Parkside Ave.,0.213,,,0,,,,,DOE,,,,,0,,,
BZ07,BZ07,B,15,GREENSTREET,,Guider Ave btw Coney Island Ave & E 11 St,Guider Ave btw Coney Island Ave & E 11 St,0.029,Greenstreet,Type 1,0,Just concrete.,,,,DOT,,,,,0,,,
QZ171D,QZ171D,Q,01,Greenstreet,,81 St Bet 21 Av & 19 Ave  4,81 St Bet 21 Av & 19 Ave  4,0.02,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BZ418,BZ418,B,18,GREENSTREET,,Royce St Bet Ave X & Avenue W (1 Of 3),Royce St Bet Ave X & Avenue W (1 Of 3),0.032,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ384,QZ384,Q,08,Greenstreet,,FL Blvd bet 73 Av & Horace Harding Expwy (6),FL Blvd bet 73 Av & Horace Harding Expwy (6),0.059,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
MZ192,MZ192,M,12,GREENSTREET,,St Nicholas Ave Bet W 169 St And W 168 St,St Nicholas Ave Bet W 169 St And W 168 St,0.046,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ101,MZ101,M,10,GREENSTREET,,Fred Douglass Blvd at Harlem River Dr Exit 23,Fred Douglass Blvd at Harlem River Dr Exit 23,0.038,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
RZ307,RZ307,R,02B,GREENSTREET,,Father Capodanno Blvd AND PARKING LOT EN,Father Capodanno Blvd AND PARKING LOT EN,0.292,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ329,QZ329,Q,07,Greenstreet,,164 St Bet Lithonia Av & Metcalf Ave  4,164 St Bet Lithonia Av & Metcalf Ave  4,0.023,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
B271,B271,B,17,Railroad Playground,,Ditmas Ave. bet. E. 92 St. and E. 91 St.,Ditmas Ave. bet. E. 92 St. and E. 91 St.,2.3,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
Q162,Q162-ZN08,Q,14,Rockaway Beach and Boardwalk,,Lands underwater bet. B. 2 St. and B. 73 St.,BTWN 56th PL. AND 62nd  ST,0,Large Park,Beach Zone,0,Retired. Rated as Q162-ZN04A,,,,DPR,,,,,0,,,
Q020,Q020-ZN04,Q,05A,Highland Park,,"Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy","Highland Blvd, Jamaica Ave, Sunnyside, Linwood To National Cemetery",18.147,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
QZ155,QZ155,Q,08,Greenstreet,,Como Avt & Pinto Street,Como Avt & Pinto Street,0.011,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ137,QZ137,Q,02,Greenstreet,,Jackson Avnue & Queens Boulevard,Jackson Avnue & Queens Boulevard,0.218,Greenstreet,Type 1,0,removed for bridge construction,,,,DOT,,,,,0,,,
MZ429,MZ429,M,05,Broadway Ped refuge,,Broadway & 20 St,Broadway & 20 St,0.01,Greenstreet,,0,,,,,DOT,,,,,0,,,
M042,M042-ZN03,M,12,Inwood Hill Park,,"Dyckman St, Hudson River, Harlem River S",Sidewalk And Lawns Along Payson Ave And Dyckman St,3.743,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
BZ42,BZ42,B,11,GREENSTREET,,Cropsey Ave/harway Ave/bay 38th St/25th,Cropsey Ave/harway Ave/bay 38th St/25th,0.11,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ1027,QZ1027,Q,14,Greenstreet,,"Elvira ave & Oak Drive, Northeast Corner","Elvira ave & Oak Drive, Northeast Corner",0.029,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ313,QZ313,Q,05,GREENSTREET,,WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE,WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE,0,Greenstreet,Type 1,0,No longer exists.,,,,DPR,,,,,0,,,
BZ595,BZ595,B,01,Manhattan Avenue Street End,,"Manhattan Avenue north of Ash Street, at Newtown Creek","Manhattan Avenue north of Ash Street, at Newtown Creek",0.257,Greenstreet,Type 1,1,,,,,,,,,,,,,
Q469,Q469,Q,14,Seagirt Ave Wetlands,,"Seagirt Blvd., Seagirt Ave. bet. Beach 5 St. and Queens County Border","Seagirt Blvd., Seagirt Ave. bet. Beach 5 St. and Queens County Border",5.323,Small Park,Undeveloped,0,marsh,,,,DPR,,,,,0,,,
XZ501,XZ501,X,06,GREENSTREET,,Oak Tree Place and Hughes Avenue,Oak Tree Place and Hughes Avenue,0.008,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ690,QZ690,Q,14,Greenstreet,,Shorefront Pkwy & Bch 84th St,Shorefront Pkwy & Bch 84th St,0.243,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
B169,B169-ZN05B,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",Stillwell Ave To Pier,10.329,Large Park,Beach Zone,1,,,,,DPR,,,,,1,,,
M378,M378,M,01,Pearl St Playground,,Pearl St. bet. Fulton St. and Beekman St.,Pearl St. bet. Fulton St. and Beekman St.,0.342,Small Park,Neighborhood Plgd,1,,,,,DPR/CDOT,,,,,0,,,
BZ359,BZ359,B,10,GREENSTREET,,74 St Bet Colonial Rd & Ridge Blvd,74 St Bet Colonial Rd & Ridge Blvd,0.024,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ848,QZ848,Q,11,Greenstreet,,42 Avnue & 210 St,42 Avnue & 210 St,0.32,Greenstreet,,0,,,,,DOT,,,,,0,,,
X285,X285,X,01,Padre Plaza,,E. 139 St. and St Ann's Ave.,E. 139 St. and St Ann's Ave.,0.367,Small Park,Greenthumb,0,Greenthumb,,,,DPR,,,,,0,,,
Q360S,Q360S,Q,05,Quick Brown Fox Triangle,,"73 St., 57 Rd., Queens - Mid-Town Exwy. Sr. Rd. N.","73 St., 57 Rd., Queens - Mid-Town Exwy. Sr. Rd. N.",0.07,Small Park,Sitting Area/Triangle/Mall,1,,,,,CDOT,,,,,0,,,
QZ76,QZ76,Q,10,Greenstreet,,Lincoln St & Linden Blvd & 134 St,Lincoln St & Linden Blvd & 134 St,0.022,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BS100,BS100,B,05,P.S. 345 PATROLMAN ROBERT BOLDEN,,Liberty Ave. bet. Berriman St. and Atkins Ave.,Liberty Ave. bet. Berriman St. and Atkins Ave.,0.935,,,0,,,,,DOE,,,,,,,,
Q490,Q490,Q,12,Locust Manor Civic Association,,"120 Ave., Victoria Dr. bet. 171 St. and 171 St.","120 Ave., Victoria Dr. bet. 171 St. and 171 St.",0.083,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
X280,X280,X,06,Washington Park,,E 183 St bet. Washington Av and Park Av,E 183 St bet. Washington Av and Park Av,0.516,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
B214,B214,B,05,Linden Park,,Vermont St. bet. Linden Blvd. and Stanley Ave.,Vermont St. bet. Linden Blvd. and Stanley Ave.,9.322,Large Park,Large Park,0,Rated as two separate Small Parks,,,,DPR,,,,,0,,,
BZ11,BZ11,B,10,GREENSTREET,,Senator St & 3rd Ave,Senator St & 3rd Ave,0.116,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ02,MZ02,M,02,Spring Street Park,,6 Ave & Spring St,6 Ave & Spring St,0.577,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ121,BZ121,B,05,GREENSTREET,,Linden Blvd btw Pennsylvania Ave & Wyona St,Linden Blvd btw Pennsylvania Ave & Wyona St,0.023,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
XZ141,XZ141,X,10,GREENSTREET,,New England Ty Entrance Nb And Baychester,New England Ty Entrance Nb And Baychester,0.154,Greenstreet,,0,,,,,DOT,,,,,0,,,
MZ286,MZ286,M,08,GREENSTREET,,Queensboro Bridge Exit Bet. E 61 St And E 62 St,Queensboro Bridge Exit Bet. E 61 St And E 62 St,0.005,Greenstreet,,0,,,,,DOT,,,,,0,,,
B098,B098,B,07,Martin Luther Playground,,2 Ave. bet. 55 St. and 56 St.,2 Ave. bet. 55 St. and 56 St.,0.913,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
M071,M071-ZN09,M,14,Riverside Park,,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",91th To 95th Sts Along Riverside Dr.,1.628,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
QZ209,QZ209,Q,01,Greenstreet,,Hazen St & 75 St,Hazen St & 75 St,0.01,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ71,BZ71,B,14,GREENSTREET,,"Elm Ave, Avenue M, East 15th Street","Elm Ave, Avenue M, East 15th Street",0.027,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X033,X033-10,X,07,Mosholu Parkway,,Bronx Park to Van Cortlandt Park,"Mosholu Pkwy, Webster Ave, Botanical Sq N, Metro-North RR",2.067,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
XS029,XS029,X,09,P.S. 36,,"Castle Hill Ave., Blackrock Ave., Watson Ave.","Castle Hill Ave., Blackrock Ave., Watson Ave.",0.783,,,0,,,,,DOE,,,,,0,,,
BZ291,BZ291,B,11,GREENSTREET,,Bay 16th St & New Utrecht Ave & 82nd St,Bay 16th St & New Utrecht Ave & 82nd St,0.128,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ648,QZ648,Q,14,Greenstreet,,Bch 116 St & Ocean Promenade  north,Bch 116 St & Ocean Promenade  north,0.024,Greenstreet,Type 1,0,,,,,DOT,,,,,0,,,
QZ381,QZ381,Q,08,Greenstreet,,FL Blvd bet 73 Av & Horace Harding Expwy (3),FL Blvd bet 73 Av & Horace Harding Expwy (3),0.056,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ291,QZ291,Q,04,Greenstreet,,Van Doren St & Westside St & 108 St,Van Doren St & Westside St & 108 St,0.063,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MT13,MT13,M,02,Pier 40,,West St. bet. W. Houston St. and Clarkson St.,West St. bet. W. Houston St. and Clarkson St.,0,,,0,,,,,HRPT,,,,,,,,
MZ126,MZ126,M,03,GREENSTREET,,Chatham Sq & E Broadway,Chatham Sq & E Broadway,0.007,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B073,B073-ZN24,B,19,Prospect Park,,"Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Lake, E Lake Dr., S Of Breeze Hill, Parking Lot",20.341,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
Q363,Q363,Q,03,Northern Playground,,Northern Blvd. bet. 93 St. and 94 St.,Northern Blvd. bet. 93 St. and 94 St.,1.719,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
X004,X004-04,X,09,Bronx River Parkway,,Bronx River bet. Burke Ave. and the New York City-Westchester Line,E 174 & Bronx River Pkwy,0.367,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
X170,X170,X,10,The Pearly Gates,,St. Peter's Ave. at Tratman Ave.,St. Peter's Ave. at Tratman Ave.,0.659,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
RZ004A,RZ004A,R,02,GREENSTREET,,1st St And New Dorp Lane And Richmond Rd,1st St And New Dorp Lane And Richmond Rd,0.014,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ672,QZ672,Q,14,Greenstreet,,Seagirt Blvd & B9 St,Seagirt Blvd & B9 St,0.024,Greenstreet,Type 1,0,,,,,DOT,,,,,0,,,
BZ123,BZ123,B,05,GREENSTREET,,Linden Blvd btw Pennsylvania Ave & Wyona St,Linden Blvd btw Pennsylvania Ave & Wyona St,0.027,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
RZ247,RZ247,R,02B,GREENSTREET,,Fr Capodanno And Seaver,Fr Capodanno And Seaver,0.092,Greenstreet,Type 1,0,,,,,DOT,,,,,0,,,
BZ165,BZ165,B,14,GREENSTREET,,Flatbush Ave btw Foster Ave & E 26 St,Flatbush Ave btw Foster Ave & E 26 St,0.032,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ280,QZ280,Q,03,Greenstreet,,Ditmars Bl At 23 Av Bet 102 St & 25 Ave,Ditmars Bl At 23 Av Bet 102 St & 25 Ave,0.129,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q003,Q003,Q,12,Ashmead Park,,Liberty Ave. bet. 168 St. and 168 Pl.,Liberty Ave. bet. 168 St. and 168 Pl.,0.27,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
BZ505,BZ505,B,16,GREENSTREET,,Eastern Parkway & Ralph Ave (1),Eastern Parkway & Ralph Ave (1),0.128,Greenstreet,Type 1,0,Pending,,,,DOT,,,,,0,,,
M180,M180,M,12,Lt. Wm. Tighe Triangle,,"Riverside Dr., Dyckman St. and Seaman Ave.","Riverside Dr., Dyckman St. and Seaman Ave.",0.156,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
B068,B068,B,14,Parade Ground,,"Parkside Ave., Caton Ave., bet. Parade Pl. and Coney Island Ave.","Parkside Ave., Caton Ave., bet. Parade Pl. and Coney Island Ave.",39.5,Large Park,Large Park,0,"Rated as part of Prospect Park, zones 27 and 28",,,,DPR,,,,,0,,,
B535,B535,B,05,400 Montauk Av Block Assn,,Montauk Ave. and New Lots Ave.,Montauk Ave. and New Lots Ave.,0.092,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B169,B169-ZN07B,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",W 29th St To W 32nd St,8.802,Large Park,Beach Zone,1,,,,,DPR,,,,,0,,,
