,cd,boro,date,year,month,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,fs_openhours,fs_open,trs_permits,paper_baskets,mgp_baskets,total_number_of_households,hh_compost_num,hh_compost_percent,shape_area,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,bigbelly,seasonal_wire_litter_basket,highend_basket,publicspacereceptacle,wire_basket,total_litter_baskets
3094,QN10,QN,2019-09-01,2019,9,3682.8,355.4,483.4,42.9,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3095,QN10,QN,2019-10-01,2019,10,3957.9,381.0,497.0,57.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3096,QN10,QN,2019-11-01,2019,11,3577.7,331.4,441.9,88.5,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3097,QN10,QN,2019-12-01,2019,12,3820.2,479.6,523.4,64.8,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3098,QN10,QN,2020-01-01,2020,1,3409.9,386.4,506.1,56.1,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3099,QN10,QN,2020-02-01,2020,2,2999.8,297.5,435.2,55.1,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3100,QN10,QN,2020-03-01,2020,3,3461.1,351.0,515.8,54.6,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3101,QN10,QN,2020-04-01,2020,4,3617.3,346.3,586.7,57.6,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3102,QN10,QN,2020-05-01,2020,5,4517.3,378.6,675.9,4.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3103,QN10,QN,2020-06-01,2020,6,4817.9,442.3,814.7,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3104,QN10,QN,2020-07-01,2020,7,4804.9,428.4,773.2,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3105,QN10,QN,2020-08-01,2020,8,4811.8,382.5,671.0,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3106,QN10,QN,2020-09-01,2020,9,4531.6,392.5,611.9,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3107,QN10,QN,2020-10-01,2020,10,4411.8,405.1,603.2,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3108,QN10,QN,2020-11-01,2020,11,4307.4,357.2,563.3,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3109,QN10,QN,2020-12-01,2020,12,3923.3,466.4,643.7,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3110,QN10,QN,2021-01-01,2021,1,3515.7,382.2,571.5,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3111,QN10,QN,2021-02-01,2021,2,2844.9,295.0,437.7,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3112,QN10,QN,2021-03-01,2021,3,3975.8,384.4,610.8,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3113,QN10,QN,2021-04-01,2021,4,3767.5,323.9,562.0,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
